03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 3
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 1
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 4
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 5
03/01/2015 15:16:36 SELECT DISTINCT experience FROM niveau WHERE niveau = :niveau : 	 2
